TOPIC1,TOPIC2,TOPIC3,TOPIC4,TOPIC5,TOPIC6,TOPIC7,TOPIC8
account,use,datum,information,censorship,privacy,censor,account
use,account,privacy,datum,censor,use,information,video
report,business,sell,sell,speech,information,share,share
social,hack,information,use,right,track,truth,information
delete,datum,policy,privacy,freedom,monitor,censorship,allow
issue,support,use,platform,check,sell,platform,private
keep,information,censorship,personal,information,personal,,happen
work,change,personal,track,truth,delete,social,use
photo,money,keep,censor,free,concern,allow,picture
access,trash,delete,social,opinion,datum,speech,feed
picture,social,money,steal,allow,censor,use,group
name,customer,care,private,agenda,control,checker,profile
profile,free,bidder,censorship,checker,stay,control,page
privacy,Instagram,buy,money,use,star,political,content
request,sell,content,spy,political,recommend,opinion,back
location,political,data,profit,propaganda,opinion,news,horrible
business,security,fake,product,narrative,censorship,view,photo
information,help,Privacy,collect,social,safe,free,ban
right,member,business,delete,platform,garbage,freedom,comment
service,page,high,life,censoring,conversation,world,block
trust,personal,connect,open,violate,issue,place,life
